age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,predicted_probability
62,management,married,secondary,no,-280.0,yes,no,telephone,10,feb,299.0,1,-1,0,unknown,0,0.15036859647303558
39,blue-collar,married,secondary,no,627.0,yes,no,unknown,3,sep,386.0,7,-1,0,unknown,0,0.16053502071158796
27,housemaid,single,primary,no,2332.0,no,no,cellular,16,aug,356.0,2,-1,0,unknown,0,0.19513366187191025
49,self-employed,married,primary,no,1426.0,no,no,telephone,5,nov,565.0,1,7,0,unknown,0,0.18640659681345337
25,self-employed,married,secondary,no,5748.0,no,no,telephone,5,nov,27.0,7,-1,0,unknown,0,0.2048017953046818
42,entrepreneur,married,secondary,no,1757.0,yes,no,unknown,10,sep,142.0,1,9,0,failure,0,0.16362338071120808
18,management,divorced,secondary,no,3653.0,yes,yes,unknown,25,sep,210.0,13,-1,1,unknown,1,0.25383352071870746
24,admin,married,secondary,no,2626.0,yes,no,unknown,23,mar,237.0,3,9,0,unknown,1,0.172483232917989
42,technician,single,secondary,no,3235.0,no,no,unknown,13,may,857.0,2,-1,0,unknown,0,0.19253566536368877
48,technician,married,tertiary,no,-443.0,no,no,cellular,25,nov,13.0,11,4,0,unknown,0,0.21063442881264763
42,technician,married,secondary,no,2003.0,yes,no,unknown,24,mar,604.0,1,-1,0,unknown,0,0.156171133157613
38,unemployed,married,primary,no,1336.0,yes,no,cellular,3,jun,241.0,7,-1,0,unknown,1,0.15921791689586176
36,admin,single,secondary,no,-291.0,yes,no,telephone,18,oct,243.0,3,-1,0,unknown,1,0.172100733210606
22,management,married,tertiary,no,3813.0,yes,no,telephone,31,may,116.0,4,-1,0,unknown,1,0.17404544158800953
31,technician,divorced,primary,no,-2000.0,yes,no,unknown,19,feb,310.0,3,10,0,unknown,0,0.18029271945050432
34,student,married,secondary,no,4867.0,no,no,unknown,6,mar,312.0,3,-1,0,unknown,0,0.18397944565706884
52,admin,married,primary,no,-2000.0,yes,no,unknown,27,jul,63.0,1,-1,0,unknown,0,0.1676247719823856
44,admin,divorced,primary,no,1116.0,yes,no,telephone,28,oct,339.0,1,-1,0,unknown,0,0.17428433913080169
18,housemaid,married,secondary,no,3853.0,yes,no,telephone,26,oct,93.0,2,-1,0,unknown,1,0.17104153250473
43,housemaid,married,secondary,no,-1471.0,no,no,telephone,20,dec,350.0,2,-1,0,success,1,0.1928566557597187
35,blue-collar,single,tertiary,no,2559.0,yes,yes,cellular,27,may,284.0,4,-1,0,failure,0,0.14276401734502925
31,student,married,secondary,no,2289.0,no,no,telephone,1,mar,378.0,4,-1,1,unknown,1,0.2154768070325334
47,student,single,secondary,no,2317.0,no,no,unknown,10,apr,6.0,3,-1,0,unknown,0,0.22016874003076078
52,blue-collar,married,secondary,no,628.0,yes,no,cellular,10,jun,40.0,2,-1,0,unknown,0,0.1704358222753727
51,student,married,secondary,no,337.0,yes,no,cellular,29,aug,550.0,4,-1,0,unknown,0,0.16467294216262546
29,retired,married,primary,no,-2000.0,no,yes,cellular,25,dec,144.0,4,2,0,unknown,0,0.15513919485412347
36,services,single,tertiary,no,1240.0,yes,no,telephone,22,jul,544.0,5,-1,0,unknown,0,0.15841722181283108
43,technician,married,unknown,no,3794.0,yes,yes,telephone,1,dec,19.0,5,-1,0,unknown,0,0.09892459742107725
51,housemaid,single,primary,no,360.0,no,no,telephone,19,mar,440.0,1,-1,0,unknown,0,0.1852937514866811
34,blue-collar,divorced,primary,no,484.0,no,no,telephone,11,feb,26.0,2,-1,0,unknown,0,0.21324923059713416
37,blue-collar,married,primary,no,5474.0,yes,no,unknown,27,mar,190.0,2,-1,3,unknown,0,0.23434732043566375
26,student,married,secondary,no,1091.0,yes,no,cellular,13,may,832.0,6,4,0,unknown,0,0.15387136617144884
25,admin,married,secondary,no,2380.0,no,no,cellular,17,jul,24.0,2,-1,0,unknown,0,0.21081453462389027
49,self-employed,married,tertiary,no,2839.0,yes,no,cellular,28,aug,130.0,2,-1,0,unknown,0,0.1701157621406341
56,unemployed,married,tertiary,yes,1090.0,yes,yes,cellular,25,jun,219.0,3,-1,0,unknown,0,0.10790835280705338
39,entrepreneur,single,secondary,no,3203.0,yes,yes,cellular,20,feb,689.0,1,3,0,unknown,0,0.12762782856021895
52,entrepreneur,divorced,secondary,no,3974.0,yes,no,unknown,18,nov,121.0,3,-1,0,failure,1,0.17308774118659534
44,blue-collar,divorced,secondary,no,3759.0,no,no,unknown,4,feb,494.0,3,-1,0,unknown,0,0.1947398868788341
32,technician,divorced,secondary,no,4038.0,no,yes,cellular,15,oct,380.0,4,-1,0,unknown,0,0.14327249157438318
44,retired,divorced,secondary,no,-2000.0,no,no,cellular,2,nov,110.0,3,-1,0,unknown,0,0.1843421015708814
58,technician,married,secondary,no,-1430.0,no,no,telephone,6,may,125.0,9,-1,2,failure,0,0.23737830439794538
39,blue-collar,single,secondary,no,214.0,yes,no,cellular,22,nov,64.0,1,8,0,unknown,0,0.1762902694705336
58,technician,divorced,secondary,no,-490.0,yes,no,unknown,31,may,354.0,5,-1,0,unknown,0,0.1644132918183246
18,housemaid,married,secondary,no,-300.0,yes,no,telephone,27,jan,248.0,4,-1,0,unknown,0,0.1635466353560873
49,technician,divorced,tertiary,no,3724.0,yes,yes,unknown,23,jan,51.0,1,-1,0,unknown,0,0.12810094155577975
41,student,married,secondary,no,1767.0,yes,no,telephone,9,sep,290.0,4,6,0,unknown,0,0.1517703498306038
36,student,single,secondary,no,1158.0,yes,no,telephone,11,jul,207.0,4,-1,0,unknown,0,0.16005526705017306
41,retired,single,secondary,no,936.0,yes,no,cellular,25,aug,29.0,1,-1,0,unknown,0,0.17397539824557726
18,housemaid,divorced,secondary,no,500.0,yes,no,unknown,20,dec,922.0,4,-1,0,unknown,0,0.15734067617749978
37,self-employed,married,secondary,no,895.0,yes,no,unknown,16,may,540.0,8,-1,0,unknown,0,0.1525087559341373
44,admin,single,primary,no,4969.0,yes,no,cellular,25,mar,22.0,2,-1,2,success,0,0.27734995964710163
57,housemaid,married,secondary,no,-2000.0,yes,yes,telephone,8,mar,803.0,11,6,0,unknown,0,0.12240096309257087
33,management,married,secondary,no,4686.0,yes,no,telephone,28,dec,746.0,1,-1,0,unknown,0,0.16485167407227272
30,services,single,unknown,no,7234.0,yes,no,unknown,17,mar,13.0,1,7,0,failure,0,0.1672764661384571
33,blue-collar,married,secondary,no,4667.0,no,no,cellular,31,jan,67.0,1,-1,0,unknown,0,0.2131535106925471
50,management,single,secondary,no,-975.0,no,no,cellular,23,nov,364.0,1,-1,0,unknown,0,0.17698162718567712
43,retired,married,secondary,no,284.0,yes,no,unknown,23,nov,818.0,2,-1,0,unknown,0,0.15673852721723433
33,management,married,primary,no,4083.0,no,no,telephone,31,mar,520.0,4,-1,0,unknown,0,0.1869440328781181
46,student,single,tertiary,no,878.0,no,no,telephone,26,feb,99.0,1,-1,0,failure,1,0.2096687764214308
41,technician,married,secondary,yes,235.0,yes,no,cellular,4,aug,10.0,2,-1,0,failure,0,0.1886194774483561
51,admin,married,secondary,no,1248.0,yes,no,telephone,7,oct,192.0,3,-1,0,unknown,0,0.1747650138251746
31,entrepreneur,divorced,secondary,no,-1305.0,no,no,telephone,11,oct,29.0,1,-1,0,unknown,0,0.2004250677467544
36,blue-collar,married,secondary,no,1174.0,no,no,telephone,27,jun,84.0,1,-1,2,unknown,0,0.2639797545183282
35,entrepreneur,single,tertiary,no,-1516.0,yes,no,unknown,11,may,307.0,1,8,0,unknown,0,0.15130376801491624
22,technician,married,secondary,no,3306.0,no,no,cellular,11,jan,205.0,1,-1,0,unknown,0,0.19271259212267527
43,student,married,secondary,no,-611.0,yes,no,unknown,26,feb,142.0,4,-1,0,unknown,1,0.16583880986217367
43,student,married,tertiary,no,1629.0,yes,no,unknown,26,feb,798.0,1,-1,0,unknown,0,0.15807811609206243
40,technician,married,tertiary,no,389.0,yes,no,telephone,21,jul,64.0,2,-1,0,unknown,0,0.16537707360622111
37,blue-collar,married,primary,no,2455.0,yes,no,cellular,21,dec,201.0,1,9,0,unknown,0,0.17643103347262024
23,entrepreneur,married,primary,no,3556.0,yes,no,telephone,15,jul,256.0,3,-1,0,unknown,0,0.1609924189505804
34,housemaid,married,primary,no,2216.0,no,yes,cellular,5,jun,117.0,2,-1,0,unknown,1,0.16615788149852834
35,student,married,secondary,no,-251.0,yes,no,telephone,6,aug,367.0,2,-1,0,failure,1,0.17294156645191505
30,entrepreneur,married,unknown,no,92.0,yes,no,cellular,23,apr,606.0,4,-1,2,unknown,0,0.3184188388718042
38,self-employed,married,secondary,no,7400.0,yes,yes,cellular,5,sep,234.0,4,-1,0,unknown,0,0.14316312427814615
44,entrepreneur,married,secondary,no,3871.0,yes,no,telephone,9,aug,456.0,2,-1,0,unknown,1,0.1614402093076187
62,self-employed,divorced,tertiary,no,1005.0,no,no,telephone,30,mar,19.0,4,-1,0,unknown,1,0.23201227966762897
42,self-employed,single,secondary,no,65.0,yes,yes,unknown,28,mar,50.0,2,9,0,unknown,0,0.14467995464399847
43,student,single,secondary,no,-2000.0,yes,no,unknown,11,dec,186.0,1,-1,0,unknown,0,0.14231216169489028
39,blue-collar,married,tertiary,no,4321.0,yes,no,cellular,25,dec,762.0,4,-1,0,failure,0,0.16650705376482963
18,retired,divorced,tertiary,no,-277.0,yes,no,telephone,30,sep,228.0,4,-1,1,unknown,0,0.22987766357839196
39,student,single,tertiary,no,4134.0,yes,no,telephone,23,sep,170.0,6,-1,0,unknown,1,0.15908127563251334
40,blue-collar,single,secondary,yes,3569.0,yes,no,unknown,26,nov,275.0,2,9,1,unknown,0,0.2138335699342393
69,blue-collar,married,tertiary,no,4882.0,yes,no,telephone,3,may,40.0,1,-1,1,unknown,1,0.26557371588347173
37,management,divorced,primary,no,3397.0,yes,no,cellular,20,oct,318.0,6,-1,0,failure,0,0.16677693878935454
43,technician,single,secondary,no,975.0,no,no,cellular,4,jan,30.0,1,-1,1,unknown,1,0.2776599186798859
39,technician,divorced,unknown,no,1540.0,yes,no,cellular,23,mar,258.0,8,-1,0,unknown,0,0.14322109419891982
25,technician,married,secondary,no,1561.0,yes,no,unknown,15,nov,376.0,2,-1,0,unknown,0,0.1559521244324556
53,services,married,tertiary,no,828.0,no,no,cellular,18,may,159.0,1,3,2,failure,0,0.23449629881540066
49,unemployed,married,secondary,no,-2000.0,no,no,unknown,27,apr,725.0,1,-1,0,failure,0,0.19071867906442505
49,student,married,primary,no,-2000.0,yes,no,unknown,5,apr,49.0,2,-1,0,unknown,0,0.16353177520362838
29,blue-collar,divorced,tertiary,no,3397.0,no,no,cellular,11,jan,56.0,1,-1,0,unknown,0,0.21249105953081415
56,management,married,primary,no,1048.0,no,no,unknown,11,jun,218.0,2,-1,0,unknown,0,0.18889748032716455
23,self-employed,married,secondary,no,3900.0,yes,no,unknown,4,dec,805.0,1,-1,0,unknown,1,0.15952195200243702
47,retired,married,primary,no,551.0,yes,no,cellular,16,oct,149.0,1,-1,0,failure,0,0.16766295428791358
66,retired,married,tertiary,no,1497.0,yes,no,cellular,26,nov,783.0,1,3,0,failure,0,0.16365096226048625
28,self-employed,married,secondary,no,3824.0,yes,no,unknown,11,apr,355.0,1,-1,0,unknown,0,0.15959947694451596
33,entrepreneur,single,secondary,no,5388.0,yes,no,unknown,25,jan,458.0,2,3,1,failure,1,0.30822234273075244
41,entrepreneur,married,primary,no,710.0,yes,no,telephone,1,oct,834.0,4,-1,0,unknown,1,0.16381958669052477
33,technician,married,tertiary,no,-1000.0,no,no,cellular,31,jun,255.0,2,-1,0,unknown,1,0.18742172259352785
21,student,married,tertiary,no,4533.0,yes,no,telephone,26,may,308.0,5,-1,0,unknown,0,0.15949274787917506
40,services,married,tertiary,no,782.0,yes,no,unknown,13,may,260.0,2,-1,0,failure,0,0.16640217177065655
27,management,married,secondary,no,287.0,yes,yes,telephone,30,feb,461.0,1,-1,0,success,0,0.1482645647927086
45,retired,single,secondary,no,501.0,no,no,unknown,19,jan,96.0,8,-1,0,unknown,0,0.20224108211450328
28,unemployed,single,primary,no,-297.0,no,no,telephone,6,jul,465.0,2,-1,0,unknown,0,0.1834832208529268
58,technician,single,secondary,no,3434.0,yes,no,unknown,27,may,375.0,3,-1,0,unknown,1,0.1574284372195231
30,admin,single,secondary,no,-1846.0,yes,no,unknown,20,mar,276.0,2,-1,2,unknown,1,0.289459846540543
36,technician,married,unknown,no,1755.0,yes,yes,unknown,19,jun,12.0,3,-1,0,unknown,0,0.11750407932778267
49,admin,divorced,tertiary,no,2124.0,no,no,cellular,6,mar,447.0,7,-1,0,unknown,0,0.19424621816593024
25,housemaid,single,secondary,no,4.0,yes,no,unknown,13,jun,43.0,6,-1,0,unknown,0,0.16807339418788803
42,blue-collar,divorced,primary,no,5468.0,yes,no,cellular,11,jun,981.0,12,-1,0,unknown,0,0.16256975040939226
55,unemployed,married,tertiary,no,3746.0,yes,no,unknown,19,sep,26.0,3,-1,0,failure,0,0.17301367358132602
20,self-employed,divorced,primary,no,364.0,no,no,telephone,7,aug,382.0,8,2,0,failure,0,0.1866034550545384
42,blue-collar,single,primary,no,1235.0,yes,no,unknown,12,jan,134.0,2,3,0,failure,0,0.1674256707242647
43,technician,single,secondary,no,3736.0,no,no,unknown,16,jul,399.0,1,10,0,failure,0,0.20625082700634928
49,blue-collar,married,secondary,no,1700.0,yes,no,telephone,1,nov,220.0,1,-1,1,unknown,0,0.23834576127662327
25,management,single,tertiary,no,5004.0,yes,yes,unknown,25,sep,298.0,2,-1,0,failure,0,0.1431055414532579
24,housemaid,divorced,secondary,no,2916.0,yes,no,unknown,15,feb,24.0,4,-1,0,unknown,0,0.17808491142314256
46,services,single,primary,no,2132.0,no,no,unknown,13,sep,1019.0,1,-1,0,failure,0,0.1994670959951664
43,housemaid,married,secondary,no,2111.0,no,no,telephone,10,jun,1.0,2,-1,0,failure,0,0.2265100503164036
43,retired,divorced,tertiary,yes,9372.0,no,no,unknown,18,mar,850.0,12,-1,0,unknown,1,0.3891467291047552
44,management,married,secondary,no,-1046.0,no,no,cellular,4,aug,252.0,5,-1,1,unknown,0,0.2966882084253148
31,unemployed,married,secondary,no,-1236.0,no,no,cellular,22,jul,90.0,3,-1,0,unknown,0,0.19256958915872044
42,blue-collar,married,tertiary,no,896.0,no,no,cellular,6,dec,305.0,1,-1,0,failure,0,0.1864528173113958
43,unemployed,divorced,unknown,no,5012.0,yes,no,cellular,27,aug,335.0,1,-1,0,unknown,1,0.15905715042839583
31,services,married,unknown,no,-2000.0,no,no,telephone,8,aug,393.0,1,-1,0,unknown,0,0.16242366881488585
62,blue-collar,married,tertiary,no,-2000.0,no,no,unknown,24,jul,5.0,2,-1,0,unknown,0,0.2167008748201093
45,student,single,primary,no,501.0,yes,no,cellular,20,jan,1219.0,3,-1,0,failure,0,0.1700136010559251
25,student,single,secondary,no,6800.0,no,no,unknown,22,oct,289.0,1,4,0,unknown,1,0.20758416070539398
47,entrepreneur,married,secondary,no,1564.0,yes,no,unknown,9,oct,142.0,1,-1,2,unknown,0,0.2524703352626393
28,housemaid,divorced,secondary,no,-1406.0,yes,no,telephone,23,oct,254.0,1,4,0,unknown,0,0.15219495466316493
49,services,divorced,unknown,no,3555.0,yes,no,unknown,29,aug,59.0,2,-1,0,unknown,0,0.17050794011939316
53,student,married,tertiary,no,5655.0,yes,no,cellular,8,may,85.0,5,-1,0,unknown,0,0.15781644022368652
30,entrepreneur,married,tertiary,no,-97.0,yes,no,cellular,24,feb,27.0,5,4,0,unknown,0,0.17055117876715145
51,management,married,primary,no,2636.0,no,no,telephone,18,feb,634.0,1,-1,0,unknown,0,0.1804865834797731
44,unemployed,married,tertiary,no,1892.0,yes,no,cellular,7,feb,87.0,4,-1,0,unknown,0,0.1623316106451569
49,services,married,tertiary,no,2931.0,yes,no,cellular,19,sep,404.0,2,9,0,unknown,0,0.1648572152579304
62,entrepreneur,divorced,primary,no,353.0,no,no,telephone,23,may,96.0,11,-1,0,failure,1,0.19785767713794422
37,self-employed,single,tertiary,no,3072.0,yes,no,telephone,18,mar,47.0,2,-1,1,failure,0,0.221522126288583
30,unemployed,married,secondary,no,3596.0,yes,yes,cellular,1,jun,34.0,2,-1,2,unknown,0,0.19472699064554358
29,services,married,primary,no,3286.0,yes,no,telephone,11,sep,590.0,2,7,0,unknown,0,0.1477121657549208
30,technician,married,secondary,no,-2000.0,yes,no,telephone,9,nov,38.0,1,4,0,unknown,0,0.15547652884709348
39,unemployed,married,secondary,no,-2000.0,yes,no,cellular,10,sep,27.0,2,-1,0,unknown,0,0.155897307330052
44,entrepreneur,married,primary,no,-223.0,no,no,cellular,10,sep,3.0,5,-1,0,unknown,0,0.2153251798229818
43,blue-collar,divorced,secondary,no,2169.0,yes,no,telephone,1,nov,137.0,3,-1,0,unknown,0,0.14995504506295732
49,technician,divorced,unknown,no,2898.0,yes,no,unknown,27,oct,858.0,10,-1,0,unknown,0,0.15072398439669044
40,self-employed,married,secondary,no,-1135.0,no,no,unknown,17,nov,718.0,2,8,0,unknown,1,0.19471794961021313
57,student,divorced,tertiary,no,2311.0,no,no,cellular,27,apr,37.0,1,9,0,unknown,0,0.23343838761752106
36,admin,married,secondary,no,3864.0,yes,no,cellular,12,may,4.0,4,-1,0,unknown,0,0.1876783287367364
72,entrepreneur,single,primary,no,3170.0,yes,no,unknown,12,dec,417.0,1,-1,0,unknown,0,0.1520738942464518
47,management,married,secondary,no,350.0,no,no,telephone,19,jan,110.0,1,-1,0,failure,1,0.19718720445837762
29,entrepreneur,married,secondary,no,579.0,no,no,unknown,17,nov,540.0,2,-1,0,unknown,1,0.19241348447167345
27,admin,divorced,secondary,no,-1744.0,no,yes,unknown,7,oct,73.0,4,3,0,unknown,0,0.17827873533651517
45,self-employed,married,primary,no,5851.0,yes,no,cellular,23,jun,203.0,3,-1,0,unknown,0,0.15553068295627503
37,self-employed,single,secondary,no,2685.0,yes,no,telephone,11,feb,10.0,15,5,0,failure,0,0.17720921965582406
48,technician,married,secondary,no,-2000.0,yes,yes,unknown,24,jul,675.0,3,-1,3,unknown,1,0.29824235244118075
45,services,married,tertiary,yes,4567.0,no,no,telephone,2,apr,59.0,4,9,1,unknown,0,0.19899223162743337
39,management,married,primary,no,3146.0,no,no,cellular,16,apr,105.0,15,-1,0,unknown,0,0.21281038821722717
29,technician,married,secondary,no,4486.0,yes,no,unknown,23,sep,196.0,3,-1,0,unknown,0,0.15637436067962643
21,management,single,primary,no,103.0,yes,no,cellular,9,jan,95.0,4,6,0,failure,0,0.16547931367312915
34,management,married,secondary,no,452.0,no,no,unknown,30,jun,12.0,1,-1,0,unknown,0,0.22967566268824113
50,admin,single,primary,no,-532.0,yes,no,telephone,27,feb,9.0,3,9,0,unknown,0,0.20189989645014492
42,technician,single,unknown,no,6793.0,yes,no,cellular,10,jun,932.0,7,-1,0,unknown,0,0.14316498703689562
25,management,single,tertiary,no,248.0,no,no,telephone,21,jul,118.0,6,-1,0,unknown,0,0.19462984634914132
42,retired,married,secondary,yes,-888.0,yes,no,unknown,10,mar,122.0,2,-1,0,success,1,0.17324241638298538
44,admin,divorced,primary,no,-117.0,yes,no,cellular,30,apr,769.0,2,-1,0,unknown,0,0.18248180477245937
29,unemployed,married,secondary,no,687.0,yes,no,telephone,3,feb,543.0,6,-1,0,failure,0,0.185839492595925
41,self-employed,married,tertiary,no,5390.0,yes,yes,telephone,25,jul,348.0,1,-1,0,unknown,0,0.1347709205643534
40,admin,married,primary,no,2192.0,yes,no,unknown,17,sep,322.0,7,10,0,unknown,1,0.21357521731771822
26,unemployed,married,secondary,no,4584.0,no,no,cellular,28,may,484.0,5,-1,0,unknown,0,0.17938375685046992
44,blue-collar,married,tertiary,no,2213.0,yes,no,telephone,14,nov,55.0,1,3,1,unknown,0,0.2559716032525466
46,blue-collar,single,tertiary,no,1049.0,no,no,cellular,19,may,327.0,4,9,0,unknown,0,0.20709167537118972
52,management,married,tertiary,no,-1106.0,yes,no,cellular,18,sep,31.0,6,-1,0,unknown,0,0.15039135563383188
52,technician,married,tertiary,no,5485.0,yes,no,cellular,18,aug,41.0,1,-1,0,unknown,0,0.15948061598027022
23,self-employed,single,tertiary,no,3977.0,no,no,cellular,14,jan,83.0,2,-1,0,unknown,0,0.2050374425598043
28,admin,married,secondary,no,4205.0,yes,no,unknown,3,feb,371.0,6,-1,0,unknown,0,0.16802823634042785
46,technician,married,secondary,no,3813.0,yes,no,telephone,10,jul,669.0,1,-1,0,success,1,0.18379245165377886
46,admin,married,tertiary,no,-275.0,yes,no,cellular,23,mar,352.0,2,-1,0,unknown,0,0.16407176066600507
46,admin,single,secondary,no,2163.0,yes,no,telephone,13,jun,162.0,3,-1,4,unknown,1,0.2840715455522955
86,retired,married,unknown,no,4217.0,yes,no,telephone,22,jan,216.0,1,-1,0,unknown,0,0.140252642529865
46,blue-collar,married,primary,no,3861.0,no,no,telephone,12,aug,374.0,1,-1,0,unknown,0,0.18639519620177766
53,admin,married,secondary,no,1891.0,yes,no,unknown,9,feb,285.0,2,-1,0,unknown,0,0.16636492061823674
51,retired,single,secondary,no,6437.0,no,no,cellular,26,jan,226.0,2,-1,0,unknown,0,0.19768754657614462
47,blue-collar,single,secondary,no,2832.0,yes,no,cellular,29,feb,81.0,2,4,5,unknown,0,0.2777876062846241
36,retired,single,secondary,no,4805.0,yes,no,telephone,27,aug,288.0,1,-1,0,unknown,0,0.16421086923180048
49,technician,married,tertiary,no,2000.0,yes,no,telephone,10,oct,6.0,8,-1,0,unknown,0,0.16968910246865332
30,services,married,primary,no,571.0,yes,no,unknown,30,may,246.0,6,8,0,unknown,0,0.16469369200025785
37,blue-collar,married,tertiary,no,3923.0,yes,no,unknown,19,dec,516.0,2,-1,0,unknown,1,0.16458554643262727
34,unemployed,married,secondary,no,3334.0,no,yes,telephone,16,sep,59.0,1,-1,0,unknown,1,0.16363472657977993
40,student,married,secondary,no,2366.0,yes,no,cellular,29,dec,36.0,1,-1,0,unknown,0,0.16795501938443874
67,services,married,secondary,no,-615.0,yes,no,unknown,21,mar,1054.0,1,-1,0,unknown,0,0.14992356485669783
18,technician,married,secondary,no,4027.0,no,no,cellular,31,aug,556.0,3,-1,0,unknown,0,0.18462238837302408
48,admin,single,tertiary,no,-484.0,yes,no,unknown,25,apr,108.0,4,-1,0,unknown,0,0.1743400266854558
20,self-employed,married,tertiary,no,3443.0,yes,no,cellular,3,jul,70.0,1,-1,0,unknown,0,0.16374100799871968
34,technician,single,tertiary,no,-1242.0,yes,no,telephone,12,oct,122.0,1,-1,0,unknown,0,0.14784972732183493
53,retired,married,unknown,no,-618.0,yes,no,unknown,8,oct,169.0,4,-1,0,unknown,0,0.14257529474152095
40,retired,married,secondary,no,2230.0,yes,no,telephone,25,aug,516.0,3,-1,0,unknown,0,0.16688583015652192
27,retired,married,tertiary,no,2947.0,yes,yes,unknown,27,mar,82.0,2,-1,0,failure,0,0.14394379074729496
31,retired,married,tertiary,no,2042.0,yes,no,telephone,15,mar,383.0,4,1,0,unknown,0,0.16057494890496093
48,technician,married,tertiary,no,182.0,no,yes,unknown,11,jan,795.0,2,-1,0,unknown,0,0.14605298561379382
31,self-employed,married,primary,no,4283.0,no,no,unknown,23,aug,143.0,2,6,0,unknown,1,0.2025113539820563
42,entrepreneur,divorced,unknown,no,1847.0,no,no,unknown,13,feb,8.0,1,3,0,unknown,0,0.21239119825789404
40,retired,single,secondary,no,1983.0,yes,no,cellular,6,jul,527.0,2,-1,2,unknown,0,0.29037055430318937
32,entrepreneur,married,tertiary,no,1106.0,yes,no,cellular,13,nov,370.0,1,-1,0,unknown,0,0.1601521372094283
65,self-employed,single,primary,no,-307.0,yes,no,unknown,11,jul,48.0,8,-1,0,unknown,0,0.15731101354415727
47,self-employed,single,secondary,no,4317.0,yes,no,telephone,6,jul,273.0,1,-1,0,unknown,1,0.15917294010450372
18,services,single,secondary,no,-107.0,yes,no,telephone,6,apr,523.0,1,9,0,unknown,0,0.16250960210245058
