
,checking_status,duration,credit_history,credit_amount,savings_status,employment,personal_status,age,class
28,0<=X<200,7,existing_paid,2415,<100,1<=X<4,male_single,34,good
29,<0,60,delayed_previously,6836,<100,>=7,male_single,63,bad
30,0<=X<200,18,existing_paid,1913,>=1000,<1,male_mar/wid,36,good
31,<0,24,existing_paid,4020,<100,1<=X<4,male_single,27,good
32,0<=X<200,18,existing_paid,5866,100<=X<500,1<=X<4,male_single,30,good
33,no_checking,12,critical/other_existing_credit,1264,no_known_savings,>=7,male_single,57,good
34,>=200,12,existing_paid,1474,<100,<1,female_div/dep/mar,33,good
35,0<=X<200,45,critical/other_existing_credit,4746,<100,<1,male_single,25,bad
36,no_checking,48,critical/other_existing_credit,6110,<100,1<=X<4,male_single,31,good
37,>=200,18,existing_paid,2100,<100,1<=X<4,male_single,37,bad
38,>=200,10,existing_paid,1225,<100,1<=X<4,male_single,37,good
39,0<=X<200,9,existing_paid,458,<100,1<=X<4,male_single,24,good
40,no_checking,30,existing_paid,2333,500<=X<1000,>=7,male_single,30,good
41,0<=X<200,12,existing_paid,1158,500<=X<1000,1<=X<4,male_div/sep,26,good
42,0<=X<200,18,delayed_previously,6204,<100,1<=X<4,male_single,44,good
43,<0,30,critical/other_existing_credit,6187,100<=X<500,4<=X<7,male_mar/wid,24,good
44,<0,48,critical/other_existing_credit,6143,<100,>=7,female_div/dep/mar,58,bad
45,no_checking,11,critical/other_existing_credit,1393,<100,<1,female_div/dep/mar,35,good
46,no_checking,36,existing_paid,2299,500<=X<1000,>=7,male_single,39,good
47,<0,6,existing_paid,1352,500<=X<1000,unemployed,female_div/dep/mar,23,good
48,no_checking,11,critical/other_existing_credit,7228,<100,1<=X<4,male_single,39,good
49,no_checking,12,existing_paid,2073,100<=X<500,1<=X<4,female_div/dep/mar,28,good
50,0<=X<200,24,delayed_previously,2333,no_known_savings,<1,male_single,29,good
51,0<=X<200,27,delayed_previously,5965,<100,>=7,male_single,30,good
52,no_checking,12,existing_paid,1262,<100,1<=X<4,male_single,25,good
53,no_checking,18,existing_paid,3378,no_known_savings,1<=X<4,male_single,31,good
54,0<=X<200,36,delayed_previously,2225,<100,>=7,male_single,57,bad
55,no_checking,6,all_paid,783,no_known_savings,1<=X<4,male_single,26,good
56,0<=X<200,12,existing_paid,6468,no_known_savings,unemployed,male_single,52,bad
57,no_checking,36,critical/other_existing_credit,9566,<100,1<=X<4,female_div/dep/mar,31,good
58,>=200,18,existing_paid,1961,<100,>=7,female_div/dep/mar,23,good
59,<0,36,critical/other_existing_credit,6229,<100,<1,female_div/dep/mar,23,bad
60,0<=X<200,9,existing_paid,1391,<100,1<=X<4,male_mar/wid,27,good
61,0<=X<200,15,critical/other_existing_credit,1537,no_known_savings,>=7,male_single,50,good
62,0<=X<200,36,no_credits/all_paid,1953,<100,>=7,male_single,61,bad
63,0<=X<200,48,no_credits/all_paid,14421,<100,1<=X<4,male_single,25,bad
64,no_checking,24,existing_paid,3181,<100,<1,female_div/dep/mar,26,good
65,no_checking,27,existing_paid,5190,no_known_savings,>=7,male_single,48,good
66,no_checking,12,existing_paid,2171,<100,<1,female_div/dep/mar,29,good
67,0<=X<200,12,existing_paid,1007,>=1000,1<=X<4,male_mar/wid,22,good
68,no_checking,36,existing_paid,1819,<100,1<=X<4,male_single,37,bad
69,no_checking,36,existing_paid,2394,no_known_savings,1<=X<4,female_div/dep/mar,25,good
70,no_checking,36,existing_paid,8133,<100,1<=X<4,female_div/dep/mar,30,good
71,no_checking,7,critical/other_existing_credit,730,no_known_savings,>=7,male_single,46,good
72,<0,8,critical/other_existing_credit,1164,<100,>=7,male_single,51,good
73,0<=X<200,42,critical/other_existing_credit,5954,<100,4<=X<7,female_div/dep/mar,41,good
74,<0,36,existing_paid,1977,no_known_savings,>=7,male_single,40,bad
75,<0,12,critical/other_existing_credit,1526,<100,>=7,male_single,66,good
76,<0,42,existing_paid,3965,<100,<1,male_single,34,bad
77,0<=X<200,11,delayed_previously,4771,<100,4<=X<7,male_single,51,good
78,no_checking,54,no_credits/all_paid,9436,no_known_savings,1<=X<4,male_single,39,good
79,0<=X<200,30,existing_paid,3832,<100,<1,male_mar/wid,22,good
80,no_checking,24,existing_paid,5943,no_known_savings,<1,female_div/dep/mar,44,bad
81,no_checking,15,existing_paid,1213,500<=X<1000,>=7,male_single,47,good
82,no_checking,18,existing_paid,1568,100<=X<500,1<=X<4,female_div/dep/mar,24,good
83,<0,24,existing_paid,1755,<100,>=7,female_div/dep/mar,58,good
84,<0,10,existing_paid,2315,<100,>=7,male_single,52,good
85,no_checking,12,critical/other_existing_credit,1412,<100,1<=X<4,female_div/dep/mar,29,good
86,0<=X<200,18,critical/other_existing_credit,1295,<100,<1,female_div/dep/mar,27,good
87,0<=X<200,36,existing_paid,12612,100<=X<500,1<=X<4,male_single,47,bad
88,<0,18,existing_paid,2249,100<=X<500,4<=X<7,male_single,30,good
89,<0,12,no_credits/all_paid,1108,<100,4<=X<7,male_single,28,bad
90,no_checking,12,critical/other_existing_credit,618,<100,>=7,male_single,56,good
91,<0,12,critical/other_existing_credit,1409,<100,>=7,male_single,54,good
92,no_checking,12,critical/other_existing_credit,797,no_known_savings,>=7,female_div/dep/mar,33,bad
93,>=200,24,critical/other_existing_credit,3617,no_known_savings,>=7,male_single,20,good
94,0<=X<200,12,existing_paid,1318,>=1000,>=7,male_single,54,good
95,0<=X<200,54,no_credits/all_paid,15945,<100,<1,male_single,58,bad
96,no_checking,12,critical/other_existing_credit,2012,no_known_savings,4<=X<7,female_div/dep/mar,61,good
97,0<=X<200,18,existing_paid,2622,100<=X<500,1<=X<4,male_single,34,good
98,0<=X<200,36,critical/other_existing_credit,2337,<100,>=7,male_single,36,good
99,0<=X<200,20,delayed_previously,7057,no_known_savings,4<=X<7,male_single,36,good
100,no_checking,24,existing_paid,1469,100<=X<500,>=7,male_mar/wid,41,good
101,0<=X<200,36,existing_paid,2323,<100,4<=X<7,male_single,24,good
102,no_checking,6,delayed_previously,932,<100,1<=X<4,female_div/dep/mar,24,good
103,0<=X<200,9,critical/other_existing_credit,1919,<100,4<=X<7,male_single,35,good
104,no_checking,12,existing_paid,2445,no_known_savings,<1,male_mar/wid,26,good
105,0<=X<200,24,critical/other_existing_credit,11938,<100,1<=X<4,male_single,39,bad
106,no_checking,18,all_paid,6458,<100,>=7,male_single,39,bad
107,0<=X<200,12,existing_paid,6078,<100,4<=X<7,male_single,32,good
108,<0,24,existing_paid,7721,no_known_savings,<1,female_div/dep/mar,30,good
109,0<=X<200,14,existing_paid,1410,500<=X<1000,>=7,male_mar/wid,35,good
110,0<=X<200,6,delayed_previously,1449,100<=X<500,>=7,male_div/sep,31,good
111,>=200,15,existing_paid,392,<100,<1,female_div/dep/mar,23,good
112,0<=X<200,18,existing_paid,6260,<100,4<=X<7,male_single,28,good
113,no_checking,36,critical/other_existing_credit,7855,<100,1<=X<4,female_div/dep/mar,25,bad
114,<0,12,existing_paid,1680,500<=X<1000,>=7,male_mar/wid,35,good
115,no_checking,48,critical/other_existing_credit,3578,no_known_savings,>=7,male_single,47,good
116,<0,42,existing_paid,7174,no_known_savings,4<=X<7,female_div/dep/mar,30,bad
117,<0,10,critical/other_existing_credit,2132,no_known_savings,<1,female_div/dep/mar,27,good
118,<0,33,critical/other_existing_credit,4281,500<=X<1000,1<=X<4,female_div/dep/mar,23,bad
119,0<=X<200,12,critical/other_existing_credit,2366,500<=X<1000,4<=X<7,male_div/sep,36,good
120,<0,21,existing_paid,1835,<100,1<=X<4,female_div/dep/mar,25,bad
121,no_checking,24,critical/other_existing_credit,3868,<100,>=7,female_div/dep/mar,41,good
122,no_checking,12,existing_paid,1768,<100,1<=X<4,male_single,24,good
123,>=200,10,critical/other_existing_credit,781,<100,>=7,male_single,63,good
124,0<=X<200,18,existing_paid,1924,no_known_savings,<1,female_div/dep/mar,27,bad
125,<0,12,critical/other_existing_credit,2121,<100,1<=X<4,male_single,30,good
126,<0,12,existing_paid,701,<100,1<=X<4,male_mar/wid,40,good
127,0<=X<200,12,existing_paid,639,<100,1<=X<4,male_single,30,bad
128,0<=X<200,12,critical/other_existing_credit,1860,<100,unemployed,male_single,34,good
129,<0,12,critical/other_existing_credit,3499,<100,1<=X<4,female_div/dep/mar,29,bad
130,0<=X<200,48,existing_paid,8487,no_known_savings,4<=X<7,female_div/dep/mar,24,good
131,<0,36,delayed_previously,6887,<100,1<=X<4,male_single,29,bad
132,no_checking,15,existing_paid,2708,<100,<1,male_single,27,good
133,no_checking,18,existing_paid,1984,<100,1<=X<4,male_single,47,good
134,no_checking,60,existing_paid,10144,100<=X<500,4<=X<7,female_div/dep/mar,21,good
135,no_checking,12,critical/other_existing_credit,1240,no_known_savings,>=7,female_div/dep/mar,38,good
136,no_checking,27,delayed_previously,8613,>=1000,1<=X<4,male_single,27,good
137,0<=X<200,12,existing_paid,766,500<=X<1000,1<=X<4,male_single,66,bad
138,0<=X<200,15,critical/other_existing_credit,2728,no_known_savings,4<=X<7,male_single,35,good
139,>=200,12,existing_paid,1881,<100,1<=X<4,female_div/dep/mar,44,good
140,>=200,6,existing_paid,709,>=1000,<1,male_mar/wid,27,good
141,0<=X<200,36,existing_paid,4795,<100,<1,female_div/dep/mar,30,good
142,<0,27,existing_paid,3416,<100,1<=X<4,male_single,27,good
143,<0,18,existing_paid,2462,<100,1<=X<4,male_single,22,bad
144,no_checking,21,critical/other_existing_credit,2288,<100,<1,female_div/dep/mar,23,good
145,0<=X<200,48,all_paid,3566,100<=X<500,4<=X<7,male_single,30,good
146,<0,6,critical/other_existing_credit,860,<100,>=7,female_div/dep/mar,39,good
147,no_checking,12,critical/other_existing_credit,682,100<=X<500,4<=X<7,female_div/dep/mar,51,good
148,<0,36,critical/other_existing_credit,5371,<100,1<=X<4,male_single,28,good
149,no_checking,18,critical/other_existing_credit,1582,>=1000,>=7,male_single,46,good
150,no_checking,6,existing_paid,1346,100<=X<500,>=7,male_single,42,good
151,no_checking,10,existing_paid,1924,<100,1<=X<4,male_single,38,good
152,>=200,36,existing_paid,5848,<100,1<=X<4,male_single,24,good
153,0<=X<200,24,critical/other_existing_credit,7758,>=1000,>=7,female_div/dep/mar,29,good
154,0<=X<200,24,delayed_previously,6967,100<=X<500,4<=X<7,male_single,36,good
155,<0,12,existing_paid,1282,<100,1<=X<4,female_div/dep/mar,20,bad
156,<0,9,critical/other_existing_credit,1288,100<=X<500,>=7,male_single,48,good
157,<0,12,all_paid,339,<100,>=7,male_mar/wid,45,good
158,0<=X<200,24,existing_paid,3512,100<=X<500,4<=X<7,male_single,38,good
159,no_checking,6,critical/other_existing_credit,1898,no_known_savings,1<=X<4,male_single,34,good
160,no_checking,24,critical/other_existing_credit,2872,100<=X<500,>=7,male_single,36,good
161,no_checking,18,critical/other_existing_credit,1055,<100,<1,female_div/dep/mar,30,good
162,no_checking,15,existing_paid,1262,500<=X<1000,4<=X<7,male_single,36,good
163,0<=X<200,10,existing_paid,7308,<100,unemployed,male_single,70,good
164,no_checking,36,existing_paid,909,500<=X<1000,>=7,male_single,36,good
165,no_checking,6,existing_paid,2978,500<=X<1000,1<=X<4,male_single,32,good
166,<0,18,existing_paid,1131,<100,unemployed,female_div/dep/mar,33,bad
167,0<=X<200,11,existing_paid,1577,>=1000,<1,female_div/dep/mar,20,good
168,no_checking,24,existing_paid,3972,<100,4<=X<7,female_div/dep/mar,25,good
169,0<=X<200,24,critical/other_existing_credit,1935,<100,>=7,male_div/sep,31,bad
170,<0,15,no_credits/all_paid,950,<100,>=7,male_single,33,bad
171,no_checking,12,existing_paid,763,<100,1<=X<4,female_div/dep/mar,26,good
172,0<=X<200,24,delayed_previously,2064,<100,unemployed,female_div/dep/mar,34,bad
173,0<=X<200,8,existing_paid,1414,<100,1<=X<4,male_single,33,good
174,<0,21,delayed_previously,3414,<100,<1,male_single,26,bad
175,no_checking,30,all_paid,7485,no_known_savings,unemployed,female_div/dep/mar,53,bad
176,<0,12,existing_paid,2577,<100,1<=X<4,male_div/sep,42,good
177,<0,6,critical/other_existing_credit,338,500<=X<1000,>=7,male_single,52,good
178,no_checking,12,existing_paid,1963,<100,4<=X<7,male_single,31,good
179,<0,21,critical/other_existing_credit,571,<100,>=7,male_single,65,good
180,no_checking,36,delayed_previously,9572,<100,<1,male_div/sep,28,bad
181,0<=X<200,36,delayed_previously,4455,<100,1<=X<4,male_div/sep,30,bad
182,<0,21,all_paid,1647,no_known_savings,1<=X<4,male_single,40,bad
183,no_checking,24,critical/other_existing_credit,3777,>=1000,1<=X<4,male_single,50,good
184,0<=X<200,18,critical/other_existing_credit,884,<100,>=7,male_single,36,bad
185,no_checking,15,critical/other_existing_credit,1360,<100,1<=X<4,male_single,31,good
186,0<=X<200,9,all_paid,5129,<100,>=7,female_div/dep/mar,74,bad
187,0<=X<200,16,critical/other_existing_credit,1175,<100,unemployed,male_single,68,good
188,<0,12,existing_paid,674,100<=X<500,4<=X<7,male_mar/wid,20,bad
189,0<=X<200,18,no_credits/all_paid,3244,<100,1<=X<4,female_div/dep/mar,33,good
190,no_checking,24,existing_paid,4591,>=1000,1<=X<4,male_single,54,bad
191,0<=X<200,48,no_credits/all_paid,3844,100<=X<500,4<=X<7,male_single,34,bad
192,0<=X<200,27,existing_paid,3915,<100,1<=X<4,male_single,36,bad
193,no_checking,6,existing_paid,2108,<100,4<=X<7,male_mar/wid,29,good
194,0<=X<200,45,existing_paid,3031,100<=X<500,1<=X<4,male_single,21,bad
195,0<=X<200,9,critical/other_existing_credit,1501,<100,>=7,female_div/dep/mar,34,bad
196,no_checking,6,critical/other_existing_credit,1382,<100,1<=X<4,female_div/dep/mar,28,good
197,0<=X<200,12,existing_paid,951,100<=X<500,<1,female_div/dep/mar,27,bad
198,0<=X<200,24,existing_paid,2760,no_known_savings,>=7,male_single,36,good
199,0<=X<200,18,delayed_previously,4297,<100,>=7,male_div/sep,40,bad
200,no_checking,9,critical/other_existing_credit,936,500<=X<1000,>=7,male_single,52,good
201,<0,12,existing_paid,1168,<100,1<=X<4,male_mar/wid,27,good
202,no_checking,27,delayed_previously,5117,<100,4<=X<7,male_single,26,good
203,<0,12,existing_paid,902,<100,4<=X<7,male_mar/wid,21,bad
204,no_checking,12,critical/other_existing_credit,1495,<100,>=7,male_single,38,good
205,<0,30,critical/other_existing_credit,10623,<100,>=7,male_single,38,good
206,no_checking,12,critical/other_existing_credit,1935,<100,>=7,male_single,43,good
207,0<=X<200,12,critical/other_existing_credit,1424,<100,4<=X<7,male_single,26,good
208,<0,24,existing_paid,6568,<100,1<=X<4,male_mar/wid,21,good
209,no_checking,12,existing_paid,1413,>=1000,4<=X<7,male_single,55,good
210,no_checking,9,critical/other_existing_credit,3074,no_known_savings,1<=X<4,male_single,33,good
211,no_checking,36,existing_paid,3835,no_known_savings,>=7,female_div/dep/mar,45,good
212,<0,27,no_credits/all_paid,5293,<100,unemployed,male_single,50,bad
213,>=200,30,delayed_previously,1908,<100,>=7,male_single,66,bad
214,no_checking,36,critical/other_existing_credit,3342,no_known_savings,>=7,male_single,51,good
215,0<=X<200,6,critical/other_existing_credit,932,no_known_savings,4<=X<7,female_div/dep/mar,39,good
216,<0,18,no_credits/all_paid,3104,<100,4<=X<7,male_single,31,good
217,>=200,36,existing_paid,3913,<100,1<=X<4,male_single,23,good
218,<0,24,existing_paid,3021,<100,1<=X<4,male_div/sep,24,good
219,no_checking,10,existing_paid,1364,<100,1<=X<4,female_div/dep/mar,64,good
220,0<=X<200,12,existing_paid,625,<100,<1,male_mar/wid,26,good
221,<0,12,existing_paid,1200,no_known_savings,1<=X<4,female_div/dep/mar,23,good
222,no_checking,12,existing_paid,707,<100,1<=X<4,male_single,30,good
223,no_checking,24,delayed_previously,2978,no_known_savings,1<=X<4,male_single,32,good
224,no_checking,15,existing_paid,4657,<100,1<=X<4,male_single,30,good
225,no_checking,36,no_credits/all_paid,2613,<100,1<=X<4,male_single,27,good
226,0<=X<200,48,existing_paid,10961,>=1000,4<=X<7,male_single,27,bad
227,<0,12,existing_paid,7865,<100,>=7,male_single,53,bad
228,no_checking,9,existing_paid,1478,<100,4<=X<7,male_single,22,bad
229,<0,24,existing_paid,3149,<100,<1,male_single,22,good
230,>=200,36,existing_paid,4210,<100,1<=X<4,male_single,26,bad
231,no_checking,9,existing_paid,2507,500<=X<1000,>=7,male_single,51,good
232,no_checking,12,existing_paid,2141,100<=X<500,4<=X<7,male_single,35,good
233,0<=X<200,18,existing_paid,866,<100,1<=X<4,male_mar/wid,25,good
234,no_checking,4,critical/other_existing_credit,1544,<100,4<=X<7,male_single,42,good
235,<0,24,existing_paid,1823,<100,unemployed,male_single,30,bad
236,0<=X<200,6,existing_paid,14555,no_known_savings,unemployed,male_single,23,bad
237,0<=X<200,21,existing_paid,2767,100<=X<500,>=7,male_div/sep,61,bad
238,no_checking,12,critical/other_existing_credit,1291,<100,1<=X<4,female_div/dep/mar,35,good
239,<0,30,existing_paid,2522,<100,>=7,male_single,39,good
240,<0,24,existing_paid,915,no_known_savings,>=7,female_div/dep/mar,29,bad
241,no_checking,6,existing_paid,1595,<100,4<=X<7,male_single,51,good
242,<0,48,no_credits/all_paid,4605,<100,>=7,male_single,24,bad
243,no_checking,12,critical/other_existing_credit,1185,<100,1<=X<4,female_div/dep/mar,27,good
244,no_checking,12,all_paid,3447,500<=X<1000,1<=X<4,female_div/dep/mar,35,good
245,no_checking,24,existing_paid,1258,<100,4<=X<7,male_single,25,good
246,no_checking,12,critical/other_existing_credit,717,<100,>=7,male_single,52,good
247,no_checking,6,no_credits/all_paid,1204,100<=X<500,1<=X<4,male_single,35,good
248,>=200,24,existing_paid,1925,<100,1<=X<4,male_single,26,good
249,no_checking,18,existing_paid,433,<100,unemployed,female_div/dep/mar,22,bad
250,<0,6,critical/other_existing_credit,666,>=1000,4<=X<7,female_div/dep/mar,39,good
251,>=200,12,existing_paid,2251,<100,1<=X<4,female_div/dep/mar,46,good
252,0<=X<200,30,existing_paid,2150,<100,1<=X<4,female_div/dep/mar,24,bad
253,no_checking,24,delayed_previously,4151,100<=X<500,1<=X<4,male_single,35,good
254,0<=X<200,9,existing_paid,2030,no_known_savings,4<=X<7,male_single,24,good
255,0<=X<200,60,delayed_previously,7418,no_known_savings,1<=X<4,male_single,27,good
256,no_checking,24,critical/other_existing_credit,2684,<100,1<=X<4,male_single,35,good
257,<0,12,all_paid,2149,<100,1<=X<4,male_div/sep,29,bad
258,no_checking,15,existing_paid,3812,100<=X<500,<1,female_div/dep/mar,23,good
259,no_checking,11,critical/other_existing_credit,1154,100<=X<500,unemployed,female_div/dep/mar,57,good
260,<0,12,existing_paid,1657,<100,1<=X<4,male_single,27,good
261,<0,24,existing_paid,1603,<100,>=7,female_div/dep/mar,55,good
262,<0,18,critical/other_existing_credit,5302,<100,>=7,male_single,36,good
263,no_checking,12,critical/other_existing_credit,2748,<100,>=7,female_div/dep/mar,57,good
264,no_checking,10,critical/other_existing_credit,1231,<100,>=7,male_single,32,good
265,0<=X<200,15,existing_paid,802,<100,>=7,male_single,37,bad
266,no_checking,36,critical/other_existing_credit,6304,no_known_savings,>=7,male_single,36,good
267,no_checking,24,existing_paid,1533,<100,<1,female_div/dep/mar,38,good
268,<0,14,existing_paid,8978,<100,>=7,male_div/sep,45,bad
269,no_checking,24,existing_paid,999,no_known_savings,>=7,male_single,25,good
270,no_checking,18,existing_paid,2662,no_known_savings,4<=X<7,male_single,32,good
271,no_checking,12,critical/other_existing_credit,1402,500<=X<1000,4<=X<7,female_div/dep/mar,37,good
272,0<=X<200,48,all_paid,12169,no_known_savings,unemployed,male_single,36,good
273,0<=X<200,48,existing_paid,3060,<100,4<=X<7,male_single,28,bad
274,<0,30,existing_paid,11998,<100,<1,male_div/sep,34,bad
275,no_checking,9,existing_paid,2697,<100,1<=X<4,male_single,32,good
276,no_checking,18,critical/other_existing_credit,2404,<100,1<=X<4,female_div/dep/mar,26,good
277,<0,12,existing_paid,1262,no_known_savings,>=7,male_div/sep,49,good
278,no_checking,6,existing_paid,4611,<100,<1,female_div/dep/mar,32,bad
279,no_checking,24,existing_paid,1901,100<=X<500,1<=X<4,male_single,29,good
280,no_checking,15,critical/other_existing_credit,3368,>=1000,>=7,male_single,23,good
281,no_checking,12,existing_paid,1574,<100,1<=X<4,male_single,50,good
282,>=200,18,all_paid,1445,no_known_savings,4<=X<7,male_single,49,good
283,no_checking,15,critical/other_existing_credit,1520,no_known_savings,>=7,male_single,63,good
284,0<=X<200,24,critical/other_existing_credit,3878,100<=X<500,<1,male_div/sep,37,good
285,<0,47,existing_paid,10722,<100,<1,female_div/dep/mar,35,good
286,<0,48,existing_paid,4788,<100,4<=X<7,male_single,26,good
287,0<=X<200,48,delayed_previously,7582,100<=X<500,unemployed,male_single,31,good
288,0<=X<200,12,existing_paid,1092,<100,1<=X<4,female_div/dep/mar,49,good
289,<0,24,delayed_previously,1024,<100,<1,male_mar/wid,48,bad
290,no_checking,12,existing_paid,1076,<100,1<=X<4,male_mar/wid,26,good
291,0<=X<200,36,existing_paid,9398,<100,<1,male_mar/wid,28,bad
292,<0,24,critical/other_existing_credit,6419,<100,>=7,female_div/dep/mar,44,good
293,>=200,42,critical/other_existing_credit,4796,<100,>=7,male_single,56,good
294,no_checking,48,critical/other_existing_credit,7629,no_known_savings,>=7,male_div/sep,46,good
295,0<=X<200,48,existing_paid,9960,<100,<1,female_div/dep/mar,26,bad
296,no_checking,12,existing_paid,4675,no_known_savings,<1,female_div/dep/mar,20,good
297,no_checking,10,existing_paid,1287,no_known_savings,>=7,male_single,45,good
298,no_checking,18,existing_paid,2515,<100,1<=X<4,male_single,43,good
299,0<=X<200,21,critical/other_existing_credit,2745,>=1000,4<=X<7,male_single,32,good
300,no_checking,6,existing_paid,672,<100,unemployed,female_div/dep/mar,54,good
301,0<=X<200,36,no_credits/all_paid,3804,<100,1<=X<4,female_div/dep/mar,42,bad
302,>=200,24,critical/other_existing_credit,1344,no_known_savings,4<=X<7,male_single,37,bad
303,<0,10,critical/other_existing_credit,1038,<100,4<=X<7,male_single,49,good
304,no_checking,48,critical/other_existing_credit,10127,500<=X<1000,1<=X<4,male_single,44,bad
305,no_checking,6,existing_paid,1543,>=1000,1<=X<4,male_div/sep,33,good
306,no_checking,30,existing_paid,4811,no_known_savings,4<=X<7,female_div/dep/mar,24,good
307,<0,12,existing_paid,727,100<=X<500,<1,male_mar/wid,33,bad
308,0<=X<200,8,existing_paid,1237,<100,1<=X<4,female_div/dep/mar,24,bad
309,0<=X<200,9,existing_paid,276,<100,1<=X<4,male_mar/wid,22,good
310,0<=X<200,48,existing_paid,5381,no_known_savings,unemployed,male_single,40,good
311,no_checking,24,existing_paid,5511,100<=X<500,1<=X<4,male_single,25,good
312,>=200,24,existing_paid,3749,<100,<1,female_div/dep/mar,26,good
313,0<=X<200,12,existing_paid,685,<100,4<=X<7,male_mar/wid,25,bad
314,>=200,4,existing_paid,1494,no_known_savings,<1,male_single,29,good
315,<0,36,all_paid,2746,<100,>=7,male_single,31,bad
316,<0,12,existing_paid,708,<100,1<=X<4,male_single,38,good
317,0<=X<200,24,existing_paid,4351,no_known_savings,1<=X<4,female_div/dep/mar,48,good
318,no_checking,12,critical/other_existing_credit,701,<100,1<=X<4,male_single,32,good
319,<0,15,delayed_previously,3643,<100,>=7,female_div/dep/mar,27,good
320,0<=X<200,30,critical/other_existing_credit,4249,<100,unemployed,male_mar/wid,28,bad
321,<0,24,existing_paid,1938,<100,<1,male_div/sep,32,bad
322,<0,24,existing_paid,2910,<100,4<=X<7,male_single,34,good
323,<0,18,existing_paid,2659,>=1000,1<=X<4,male_single,28,good
324,no_checking,18,critical/other_existing_credit,1028,<100,1<=X<4,female_div/dep/mar,36,good
325,<0,8,critical/other_existing_credit,3398,<100,4<=X<7,male_single,39,good
326,no_checking,12,critical/other_existing_credit,5801,no_known_savings,>=7,male_single,49,good
327,no_checking,24,existing_paid,1525,>=1000,4<=X<7,female_div/dep/mar,34,good
328,>=200,36,existing_paid,4473,<100,>=7,male_single,31,good
329,0<=X<200,6,existing_paid,1068,<100,>=7,male_single,28,good
330,<0,24,critical/other_existing_credit,6615,<100,unemployed,male_single,75,good
331,no_checking,18,critical/other_existing_credit,1864,100<=X<500,1<=X<4,female_div/dep/mar,30,bad
332,0<=X<200,60,existing_paid,7408,100<=X<500,<1,female_div/dep/mar,24,bad
333,no_checking,48,critical/other_existing_credit,11590,100<=X<500,1<=X<4,female_div/dep/mar,24,bad
334,<0,24,no_credits/all_paid,4110,<100,>=7,male_single,23,bad
335,<0,6,critical/other_existing_credit,3384,<100,1<=X<4,male_div/sep,44,bad
336,0<=X<200,13,existing_paid,2101,<100,<1,female_div/dep/mar,23,good
337,<0,15,existing_paid,1275,no_known_savings,1<=X<4,female_div/dep/mar,24,bad
338,<0,24,existing_paid,4169,<100,1<=X<4,male_single,28,good
339,0<=X<200,10,existing_paid,1521,<100,1<=X<4,male_div/sep,31,good
340,0<=X<200,24,critical/other_existing_credit,5743,<100,<1,female_div/dep/mar,24,good
341,<0,21,existing_paid,3599,<100,4<=X<7,female_div/dep/mar,26,good
342,0<=X<200,18,existing_paid,3213,500<=X<1000,<1,male_mar/wid,25,good
343,0<=X<200,18,existing_paid,4439,<100,>=7,male_single,33,good
344,>=200,10,existing_paid,3949,<100,<1,male_single,37,good
